x,y,z,Fx
0,0,0,5.73939641e+01
0,0,1,nan
0,0,2,5.93837611e+01
0,0,3,5.87360420e+01
0,0,4,5.58957039e+01
0,0,5,6.14130038e+01
0,0,6,6.10958997e+01
0,0,7,5.84528864e+01
0,0,8,5.54353285e+01
0,0,9,6.09274760e+01
0,0,10,5.94715701e+01
0,0,11,5.75710996e+01
0,0,12,nan
0,0,13,5.64938473e+01
0,0,14,5.95873486e+01
0,0,15,6.01851308e+01
0,0,16,nan
0,0,17,6.13891594e+01
0,0,18,6.42260728e+01
0,0,19,6.05311297e+01
0,0,20,nan
0,0,21,nan
0,0,22,nan
0,0,23,nan
0,0,24,nan
0,0,25,5.86102581e+01
0,0,26,5.91670562e+01
0,0,27,nan
0,0,28,nan
0,0,29,6.21440972e+01
0,0,30,6.34350258e+01
0,0,31,6.05271420e+01
0,0,32,5.87572130e+01
0,0,33,nan
0,0,34,5.97325591e+01
0,0,35,nan
0,0,36,5.76811188e+01
0,0,37,6.30625264e+01
0,0,38,6.19519781e+01
0,0,39,6.22578598e+01
0,0,40,nan
0,0,41,nan
0,0,42,nan
0,0,43,nan
0,0,44,6.45240442e+01
0,0,45,nan
0,0,46,5.84405404e+01
0,0,47,5.99556562e+01
0,0,48,nan
0,0,49,nan
0,0,50,5.96330874e+01
0,0,51,6.02397135e+01
0,0,52,6.06026785e+01
0,0,53,6.16419986e+01
0,0,54,6.45843403e+01
0,0,55,nan
0,0,56,5.94861095e+01
0,0,57,5.96503499e+01
0,0,58,5.85411212e+01
0,0,59,nan
0,0,60,5.74263503e+01
0,0,61,nan
0,0,62,nan
0,0,63,nan
0,0,64,nan
0,0,65,5.80159876e+01
0,0,66,5.97987123e+01
0,0,67,5.97209213e+01
0,0,68,5.98194252e+01
0,0,69,6.02264041e+01
0,0,70,6.37867102e+01
0,0,71,5.95044789e+01
0,0,72,6.03080784e+01
0,0,73,5.84267408e+01
0,0,74,6.31429341e+01
0,0,75,6.50972746e+01
0,0,76,6.04205457e+01
0,0,77,nan
0,0,78,5.51993925e+01
0,0,79,6.06082423e+01
0,0,80,5.86101274e+01
0,0,81,nan
0,0,82,5.91392963e+01
0,0,83,nan
0,0,84,5.75894499e+01
0,0,85,5.70056588e+01
0,0,86,5.73705327e+01
0,0,87,5.49320476e+01
0,0,88,6.08256731e+01
0,0,89,nan
0,0,90,5.75205954e+01
0,0,91,6.13109051e+01
0,0,92,6.33267822e+01
0,0,93,6.30554102e+01
0,0,94,nan
0,0,95,nan
0,0,96,nan
0,0,97,nan
0,0,98,5.84014051e+01
0,0,99,5.99599724e+01
0,1,0,5.99567448e+01
0,1,1,6.02395406e+01
0,1,2,5.79105574e+01
0,1,3,5.98069453e+01
0,1,4,6.39450674e+01
0,1,5,6.44858582e+01
0,1,6,6.16864552e+01
0,1,7,nan
0,1,8,5.62603788e+01
0,1,9,5.94178727e+01
0,1,10,5.92846216e+01
0,1,11,5.74771786e+01
0,1,12,6.05586334e+01
0,1,13,5.64416435e+01
0,1,14,5.75188215e+01
0,1,15,5.83487837e+01
0,1,16,nan
0,1,17,nan
0,1,18,6.35386897e+01
0,1,19,nan
0,1,20,nan
0,1,21,6.16728223e+01
0,1,22,nan
0,1,23,nan
0,1,24,nan
0,1,25,nan
0,1,26,nan
0,1,27,nan
0,1,28,nan
0,1,29,nan
0,1,30,nan
0,1,31,6.27304815e+01
0,1,32,5.91673178e+01
0,1,33,5.77398074e+01
0,1,34,6.04265585e+01
0,1,35,6.02848462e+01
0,1,36,6.09431759e+01
0,1,37,5.91540459e+01
0,1,38,6.32827378e+01
0,1,39,6.04746618e+01
0,1,40,nan
0,1,41,nan
0,1,42,nan
0,1,43,nan
0,1,44,6.26956996e+01
0,1,45,6.45661801e+01
0,1,46,nan
0,1,47,nan
0,1,48,nan
0,1,49,nan
0,1,50,nan
0,1,51,nan
0,1,52,5.75849873e+01
0,1,53,6.46342589e+01
0,1,54,5.63095654e+01
0,1,55,5.71382900e+01
0,1,56,6.07158022e+01
0,1,57,6.06320731e+01
0,1,58,5.74818434e+01
0,1,59,5.83014033e+01
0,1,60,5.56864957e+01
0,1,61,nan
0,1,62,nan
0,1,63,nan
0,1,64,5.72425221e+01
0,1,65,6.40781304e+01
0,1,66,5.84669934e+01
0,1,67,6.18461637e+01
0,1,68,nan
0,1,69,nan
0,1,70,5.86004556e+01
0,1,71,nan
0,1,72,nan
0,1,73,nan
0,1,74,nan
0,1,75,6.13382052e+01
0,1,76,nan
0,1,77,nan
0,1,78,nan
0,1,79,5.97205164e+01
0,1,80,5.56469150e+01
0,1,81,6.30569934e+01
0,1,82,6.18132021e+01
0,1,83,6.30896588e+01
0,1,84,6.08381465e+01
0,1,85,5.63137513e+01
0,1,86,nan
0,1,87,5.98300079e+01
0,1,88,nan
0,1,89,nan
0,1,90,nan
0,1,91,6.25216921e+01
0,1,92,6.39314497e+01
0,1,93,6.25154248e+01
0,1,94,nan
0,1,95,nan
