x,y,z,Fy
0,0,0,nan
0,0,1,nan
0,0,2,nan
0,0,3,nan
0,0,4,nan
0,0,5,6.14129849e+01
0,0,6,nan
0,0,7,6.01914966e+01
0,0,8,nan
0,0,9,6.02980462e+01
0,0,10,5.94133261e+01
0,0,11,5.77386354e+01
0,0,12,nan
0,0,13,nan
0,0,14,5.97899092e+01
0,0,15,nan
0,0,16,5.37527045e+01
0,0,17,nan
0,0,18,nan
0,0,19,nan
0,0,20,nan
0,0,21,nan
0,0,22,nan
0,0,23,6.23758269e+01
0,0,24,5.86270785e+01
0,0,25,nan
0,0,26,nan
0,0,27,nan
0,0,28,nan
0,0,29,nan
0,0,30,nan
0,0,31,nan
0,0,32,nan
0,0,33,6.02781754e+01
0,0,34,nan
0,0,35,nan
0,0,36,nan
0,0,37,5.90195836e+01
0,0,38,nan
0,0,39,nan
0,0,40,nan
0,0,41,6.00344061e+01
0,0,42,5.97969580e+01
0,0,43,6.40069814e+01
0,0,44,6.45254291e+01
0,0,45,nan
0,0,46,6.34091738e+01
0,0,47,6.46118567e+01
0,0,48,6.46719518e+01
0,0,49,5.95134567e+01
0,0,50,5.96431586e+01
0,0,51,5.97437024e+01
0,0,52,nan
0,0,53,nan
0,0,54,nan
0,0,55,nan
0,0,56,nan
0,0,57,5.90425931e+01
0,0,58,5.85311733e+01
0,0,59,6.34283812e+01
0,0,60,6.19100968e+01
0,0,61,6.12416241e+01
0,0,62,6.32623705e+01
0,0,63,6.52899376e+01
0,0,64,6.42734141e+01
0,0,65,nan
0,0,66,nan
0,0,67,nan
0,0,68,nan
0,0,69,nan
0,0,70,nan
0,0,71,nan
0,0,72,5.70451718e+01
0,0,73,nan
0,0,74,6.40690952e+01
0,0,75,nan
0,0,76,nan
0,0,77,nan
0,0,78,nan
0,0,79,6.32194314e+01
0,0,80,6.25250330e+01
0,0,81,6.01761478e+01
0,0,82,5.91252798e+01
0,0,83,nan
0,0,84,nan
0,0,85,nan
0,0,86,5.91243531e+01
0,0,87,5.74406834e+01
0,0,88,nan
0,0,89,6.22946567e+01
0,0,90,nan
0,0,91,5.62360003e+01
0,0,92,6.17679572e+01
0,0,93,nan
0,0,94,nan
0,0,95,nan
0,0,96,nan
0,0,97,nan
0,0,98,nan
0,0,99,nan
0,1,0,nan
0,1,1,nan
0,1,2,nan
0,1,3,nan
0,1,4,nan
0,1,5,nan
0,1,6,nan
0,1,7,nan
0,1,8,nan
0,1,9,5.92237587e+01
0,1,10,5.73598317e+01
0,1,11,5.60955857e+01
0,1,12,nan
0,1,13,5.98986543e+01
0,1,14,6.01012104e+01
0,1,15,5.98167195e+01
0,1,16,nan
0,1,17,5.96978514e+01
0,1,18,nan
0,1,19,5.61164794e+01
0,1,20,nan
0,1,21,nan
0,1,22,5.83290580e+01
0,1,23,5.92710096e+01
0,1,24,6.08163672e+01
0,1,25,6.00156848e+01
0,1,26,6.15830276e+01
0,1,27,5.87435023e+01
0,1,28,5.95070440e+01
0,1,29,5.92806255e+01
0,1,30,nan
0,1,31,nan
0,1,32,nan
0,1,33,nan
0,1,34,5.92286160e+01
0,1,35,nan
0,1,36,6.08433731e+01
0,1,37,nan
0,1,38,nan
0,1,39,6.14088906e+01
0,1,40,5.78642604e+01
0,1,41,6.06320860e+01
0,1,42,5.82611192e+01
0,1,43,6.11765268e+01
0,1,44,nan
0,1,45,nan
0,1,46,nan
0,1,47,5.57248889e+01
0,1,48,5.77125627e+01
0,1,49,6.34088955e+01
0,1,50,nan
0,1,51,6.14551843e+01
0,1,52,nan
0,1,53,nan
0,1,54,5.81596799e+01
0,1,55,5.92058286e+01
0,1,56,6.09815009e+01
0,1,57,6.01111760e+01
0,1,58,5.55653010e+01
0,1,59,5.81928940e+01
0,1,60,nan
0,1,61,6.23148381e+01
0,1,62,5.87789358e+01
0,1,63,nan
0,1,64,5.74031674e+01
0,1,65,6.40781231e+01
0,1,66,nan
0,1,67,nan
0,1,68,nan
0,1,69,5.86782075e+01
0,1,70,nan
0,1,71,5.66510215e+01
0,1,72,5.89144510e+01
0,1,73,6.04926536e+01
0,1,74,6.03391441e+01
0,1,75,nan
0,1,76,nan
0,1,77,nan
0,1,78,nan
0,1,79,nan
0,1,80,5.61141137e+01
0,1,81,6.09579681e+01
0,1,82,5.98155569e+01
0,1,83,6.04661049e+01
0,1,84,nan
0,1,85,nan
0,1,86,5.57862483e+01
0,1,87,5.81816769e+01
0,1,88,5.98968487e+01
0,1,89,6.12868060e+01
0,1,90,6.12249827e+01
0,1,91,nan
0,1,92,nan
0,1,93,nan
0,1,94,nan
0,1,95,nan
0,1,96,nan
0,1,97,nan
0,1,98,nan
0,1,99,nan
0,2,0,5.75459020e+01
0,2,1,nan
0,2,2,5.67237195e+01
0,2,3,nan
0,2,4,5.64647569e+01
0,2,5,nan
0,2,6,nan
0,2,7,nan
0,2,8,5.71843926e+01
0,2,9,6.06975633e+01
0,2,10,5.94669509e+01
0,2,11,nan
0,2,12,nan
0,2,13,nan
0,2,14,5.81191670e+01
0,2,15,6.41232141e+01
0,2,16,6.01048007e+01
0,2,17,6.34070145e+01
0,2,18,6.24252770e+01
0,2,19,5.64388327e+01
0,2,20,6.15563901e+01
0,2,21,5.66901242e+01
0,2,22,5.82639439e+01
0,2,23,nan
0,2,24,nan
0,2,25,6.28451389e+01
0,2,26,6.50935242e+01
0,2,27,6.30978475e+01
0,2,28,5.85190922e+01
0,2,29,6.34991006e+01
0,2,30,nan
0,2,31,5.59269805e+01
0,2,32,nan
0,2,33,6.14593761e+01
0,2,34,6.02610083e+01
0,2,35,5.86302243e+01
