x,y,z,Fz
0,0,0,5.92779357e+01
0,0,1,5.65068930e+01
0,0,2,nan
0,0,3,nan
0,0,4,5.68660852e+01
0,0,5,5.82096138e+01
0,0,6,6.02292733e+01
0,0,7,5.77495815e+01
0,0,8,nan
0,0,9,6.00563041e+01
0,0,10,nan
0,0,11,5.76285968e+01
0,0,12,5.97689024e+01
0,0,13,nan
0,0,14,nan
0,0,15,6.02012310e+01
0,0,16,nan
0,0,17,6.13792658e+01
0,0,18,nan
0,0,19,nan
0,0,20,5.77842628e+01
0,0,21,nan
0,0,22,nan
0,0,23,5.75248416e+01
0,0,24,nan
0,0,25,5.85676590e+01
0,0,26,nan
0,0,27,nan
0,0,28,5.71282744e+01
0,0,29,nan
0,0,30,6.35977895e+01
0,0,31,6.07229341e+01
0,0,32,nan
0,0,33,nan
0,0,34,nan
0,0,35,5.52263631e+01
0,0,36,nan
0,0,37,6.30625055e+01
0,0,38,5.92721546e+01
0,0,39,nan
0,0,40,nan
0,0,41,nan
0,0,42,nan
0,0,43,6.02073372e+01
0,0,44,6.12321686e+01
0,0,45,nan
0,0,46,6.34090765e+01
0,0,47,nan
0,0,48,nan
0,0,49,6.02950059e+01
0,0,50,5.96427984e+01
0,0,51,nan
0,0,52,6.06016041e+01
0,0,53,5.67266538e+01
0,0,54,nan
0,0,55,nan
0,0,56,5.91515018e+01
0,0,57,5.96175232e+01
0,0,58,nan
0,0,59,6.34105737e+01
0,0,60,nan
0,0,61,nan
0,0,62,6.33907725e+01
0,0,63,5.83471955e+01
0,0,64,nan
0,0,65,5.91596430e+01
0,0,66,5.98159625e+01
0,0,67,5.85491568e+01
0,0,68,nan
0,0,69,6.10435752e+01
0,0,70,nan
0,0,71,nan
0,0,72,nan
0,0,73,nan
0,0,74,6.41176786e+01
0,0,75,6.11259322e+01
0,0,76,nan
0,0,77,5.78746487e+01
0,0,78,nan
0,0,79,6.32189816e+01
0,0,80,nan
0,0,81,nan
0,0,82,5.72488361e+01
0,0,83,nan
0,0,84,nan
0,0,85,nan
0,0,86,5.91005831e+01
0,0,87,5.52968342e+01
0,0,88,nan
0,0,89,nan
0,0,90,5.75822126e+01
0,0,91,6.13109055e+01
0,0,92,nan
0,0,93,nan
0,0,94,5.66119167e+01
0,0,95,nan
0,0,96,nan
0,0,97,nan
0,0,98,5.62207091e+01
0,0,99,6.01101535e+01
0,1,0,6.19581008e+01
0,1,1,5.87634261e+01
0,1,2,nan
0,1,3,nan
0,1,4,6.39450630e+01
0,1,5,5.95126601e+01
0,1,6,nan
0,1,7,5.91326977e+01
0,1,8,nan
0,1,9,5.93543486e+01
0,1,10,5.64570340e+01
0,1,11,5.65111184e+01
0,1,12,nan
0,1,13,5.98797014e+01
0,1,14,nan
0,1,15,nan
0,1,16,nan
0,1,17,nan
0,1,18,nan
0,1,19,5.75323782e+01
0,1,20,nan
0,1,21,nan
0,1,22,6.34261248e+01
0,1,23,5.94175320e+01
0,1,24,nan
0,1,25,nan
0,1,26,nan
0,1,27,5.89179045e+01
0,1,28,5.74813320e+01
0,1,29,nan
0,1,30,5.57810317e+01
0,1,31,6.29663401e+01
0,1,32,6.05068735e+01
0,1,33,nan
0,1,34,5.93808610e+01
0,1,35,nan
0,1,36,nan
0,1,37,nan
0,1,38,5.95149783e+01
0,1,39,6.13139222e+01
0,1,40,5.79809984e+01
0,1,41,nan
0,1,42,5.99577164e+01
0,1,43,6.41998303e+01
0,1,44,nan
0,1,45,nan
0,1,46,6.46159432e+01
0,1,47,5.88419084e+01
0,1,48,nan
0,1,49,nan
0,1,50,6.21174444e+01
0,1,51,nan
0,1,52,nan
0,1,53,nan
0,1,54,nan
0,1,55,nan
0,1,56,6.12275076e+01
0,1,57,6.03232432e+01
0,1,58,5.74599364e+01
0,1,59,5.99317852e+01
0,1,60,nan
0,1,61,nan
0,1,62,6.35686440e+01
0,1,63,5.79130852e+01
0,1,64,nan
0,1,65,nan
0,1,66,5.90381416e+01
0,1,67,6.01583933e+01
0,1,68,nan
0,1,69,6.01823980e+01
0,1,70,5.75765460e+01
0,1,71,nan
0,1,72,nan
0,1,73,6.37990123e+01
0,1,74,nan
0,1,75,nan
0,1,76,5.90194673e+01
0,1,77,nan
0,1,78,6.30413623e+01
0,1,79,6.40311545e+01
0,1,80,nan
0,1,81,nan
0,1,82,nan
0,1,83,nan
0,1,84,nan
0,1,85,5.79080560e+01
0,1,86,5.80448337e+01
0,1,87,nan
0,1,88,5.99413143e+01
0,1,89,nan
0,1,90,nan
0,1,91,6.25216967e+01
0,1,92,nan
0,1,93,nan
0,1,94,6.02021545e+01
0,1,95,nan
0,1,96,nan
0,1,97,nan
0,1,98,5.99543508e+01
0,1,99,nan
0,2,0,nan
0,2,1,nan
0,2,2,nan
0,2,3,nan
0,2,4,nan
0,2,5,5.64833656e+01
0,2,6,5.90793815e+01
0,2,7,6.04736344e+01
0,2,8,5.71842077e+01
0,2,9,5.86276498e+01
0,2,10,nan
0,2,11,nan
0,2,12,6.19122702e+01
0,2,13,5.92550900e+01
0,2,14,5.81188159e+01
0,2,15,nan
0,2,16,nan
0,2,17,nan
0,2,18,nan
0,2,19,nan
0,2,20,nan
0,2,21,nan
0,2,22,5.86647213e+01
0,2,23,6.08076690e+01
0,2,24,nan
0,2,25,6.28448353e+01
0,2,26,nan
0,2,27,nan
0,2,28,5.71767837e+01
0,2,29,nan
0,2,30,nan
0,2,31,nan
0,2,32,5.89518694e+01
0,2,33,6.15056816e+01
0,2,34,6.02318151e+01
0,2,35,nan
0,2,36,nan
0,2,37,6.03628267e+01
0,2,38,6.21806587e+01
0,2,39,6.00328198e+01
0,2,40,5.69351047e+01
0,2,41,6.18585511e+01
0,2,42,nan
0,2,43,nan
0,2,44,nan
0,2,45,nan
0,2,46,6.42039435e+01
0,2,47,nan
0,2,48,nan
0,2,49,6.00338492e+01
0,2,50,6.39134398e+01
0,2,51,5.63720451e+01
0,2,52,nan
0,2,53,5.78768033e+01
0,2,54,nan
0,2,55,nan
0,2,56,6.20140401e+01
0,2,57,5.89383334e+01
0,2,58,5.85314697e+01
0,2,59,6.04235926e+01
0,2,60,nan
0,2,61,nan
0,2,62,6.22311263e+01
0,2,63,nan
0,2,64,nan
0,2,65,nan
0,2,66,nan
0,2,67,5.92966945e+01
0,2,68,5.55928229e+01
0,2,69,5.78912251e+01
0,2,70,5.64488570e+01
0,2,71,5.72263686e+01
0,2,72,nan
0,2,73,nan
0,2,74,5.57034172e+01
0,2,75,nan
0,2,76,nan
0,2,77,nan
0,2,78,5.60657338e+01
0,2,79,6.33012148e+01
0,2,80,6.00828975e+01
0,2,81,nan
0,2,82,5.66332098e+01
0,2,83,nan
0,2,84,nan
0,2,85,5.94808690e+01
0,2,86,5.85382664e+01
0,2,87,5.81437472e+01
0,2,88,6.12411752e+01
0,2,89,5.77358120e+01
0,2,90,nan
0,2,91,nan
0,2,92,5.75517710e+01
0,2,93,nan
0,2,94,5.81408801e+01
0,2,95,nan
0,2,96,nan
0,2,97,5.77386070e+01
0,2,98,5.80873665e+01
0,2,99,6.00644157e+01
0,3,0,nan
0,3,1,nan
0,3,2,nan
0,3,3,nan
0,3,4,nan
0,3,5,nan
0,3,6,5.84095109e+01
0,3,7,6.15756881e+01
0,3,8,6.07064663e+01
0,3,9,nan
0,3,10,nan
0,3,11,nan
0,3,12,nan
0,3,13,5.97317409e+01
0,3,14,6.40896843e+01
0,3,15,nan
0,3,16,nan
0,3,17,nan
0,3,18,nan
0,3,19,5.95813220e+01
0,3,20,nan
0,3,21,nan
0,3,22,5.88161189e+01
0,3,23,5.61087328e+01
0,3,24,5.97941454e+01
0,3,25,6.27611279e+01
0,3,26,5.53342421e+01
0,3,27,nan
0,3,28,6.39225207e+01
0,3,29,nan
0,3,30,nan
0,3,31,nan
0,3,32,5.89663898e+01
0,3,33,5.96393792e+01
0,3,34,5.73176296e+01
0,3,35,nan
0,3,36,nan
0,3,37,5.79007714e+01
0,3,38,6.12911779e+01
0,3,39,nan
0,3,40,nan
0,3,41,nan
0,3,42,nan
0,3,43,nan
0,3,44,nan
0,3,45,5.94466708e+01
0,3,46,5.91351379e+01
0,3,47,nan
0,3,48,nan
