x,y,z,p
0,0,0,-5.66194668e+00
0,0,1,-5.66154502e+00
0,0,2,-5.67012360e+00
0,0,3,-5.68396849e+00
0,0,4,-5.70571851e+00
0,0,5,-5.72751534e+00
0,0,6,-5.74802250e+00
0,0,7,-5.75830111e+00
0,0,8,-5.77256223e+00
0,0,9,-5.78210782e+00
0,0,10,-5.79605290e+00
0,0,11,-5.81206582e+00
0,0,12,-5.83139554e+00
0,0,13,-5.85612955e+00
0,0,14,-5.87784037e+00
0,0,15,-5.90226825e+00
0,0,16,-5.92241686e+00
0,0,17,-5.94460259e+00
0,0,18,-5.97335186e+00
0,0,19,-6.00141147e+00
0,0,20,-6.03840855e+00
0,0,21,-6.07242784e+00
0,0,22,-6.10324074e+00
0,0,23,-6.12908061e+00
0,0,24,-6.15393232e+00
0,0,25,-6.17915367e+00
0,0,26,-6.21166031e+00
0,0,27,-6.24471590e+00
0,0,28,-6.27376925e+00
0,0,29,-6.28729720e+00
0,0,30,-6.31314337e+00
0,0,31,-6.33304199e+00
0,0,32,-6.34349108e+00
0,0,33,-6.36737611e+00
0,0,34,-6.40384509e+00
0,0,35,-6.41988836e+00
0,0,36,-6.44373316e+00
0,0,37,-6.45931291e+00
0,0,38,-6.48405150e+00
0,0,39,-6.50227367e+00
0,0,40,-6.50717415e+00
0,0,41,-6.50864282e+00
0,0,42,-6.52061923e+00
0,0,43,-6.52350979e+00
0,0,44,-6.55012366e+00
0,0,45,-6.57186043e+00
0,0,46,-6.61643713e+00
0,0,47,-6.66060905e+00
0,0,48,-6.73342660e+00
0,0,49,-6.78254346e+00
0,0,50,-6.81767713e+00
0,0,51,-6.79672002e+00
0,0,52,-6.77116952e+00
0,0,53,-6.73133481e+00
0,0,54,-6.71048914e+00
0,0,55,-6.71392028e+00
0,0,56,-6.70939908e+00
0,0,57,-6.69231624e+00
0,0,58,-6.63502455e+00
0,0,59,-6.60383754e+00
0,0,60,-6.59530536e+00
0,0,61,-6.55524044e+00
0,0,62,-6.51964251e+00
0,0,63,-6.50775299e+00
0,0,64,-6.48136885e+00
0,0,65,-6.48073388e+00
0,0,66,-6.46368592e+00
0,0,67,-6.43987123e+00
0,0,68,-6.39812900e+00
0,0,69,-6.36211568e+00
0,0,70,-6.31284860e+00
0,0,71,-6.27796127e+00
0,0,72,-6.25495702e+00
0,0,73,-6.22262870e+00
0,0,74,-6.19023816e+00
0,0,75,-6.15416512e+00
0,0,76,-6.12029515e+00
0,0,77,-6.08466162e+00
0,0,78,-6.05100411e+00
0,0,79,-6.02964775e+00
0,0,80,-6.01040436e+00
0,0,81,-5.98963609e+00
0,0,82,-5.97044843e+00
0,0,83,-5.94754269e+00
0,0,84,-5.93473216e+00
0,0,85,-5.91707722e+00
0,0,86,-5.90008018e+00
0,0,87,-5.88317747e+00
0,0,88,-5.85751517e+00
0,0,89,-5.83670608e+00
0,0,90,-5.81486833e+00
0,0,91,-5.79258840e+00
0,0,92,-5.77636413e+00
0,0,93,-5.76195872e+00
0,0,94,-5.74629731e+00
0,0,95,-5.72994752e+00
0,0,96,-5.71245147e+00
0,0,97,-5.69575434e+00
0,0,98,-5.68027363e+00
0,0,99,-5.66656641e+00
0,1,0,-5.66269592e+00
0,1,1,-5.67000278e+00
0,1,2,-5.68696739e+00
0,1,3,-5.70539371e+00
0,1,4,-5.72288732e+00
0,1,5,-5.74616739e+00
0,1,6,-5.76428841e+00
0,1,7,-5.77545901e+00
0,1,8,-5.78252029e+00
0,1,9,-5.79042595e+00
0,1,10,-5.80502061e+00
0,1,11,-5.82165526e+00
0,1,12,-5.84825253e+00
0,1,13,-5.86740057e+00
0,1,14,-5.89115007e+00
0,1,15,-5.90945326e+00
0,1,16,-5.92567470e+00
0,1,17,-5.94247584e+00
0,1,18,-5.96566318e+00
0,1,19,-5.99145748e+00
0,1,20,-6.02385129e+00
0,1,21,-6.05337348e+00
0,1,22,-6.07989878e+00
0,1,23,-6.09858120e+00
0,1,24,-6.12157964e+00
0,1,25,-6.14784589e+00
0,1,26,-6.18250480e+00
0,1,27,-6.21740661e+00
0,1,28,-6.24260721e+00
0,1,29,-6.26768048e+00
0,1,30,-6.29524824e+00
0,1,31,-6.30733144e+00
0,1,32,-6.32592015e+00
0,1,33,-6.34267536e+00
0,1,34,-6.36256235e+00
0,1,35,-6.38292765e+00
0,1,36,-6.39185920e+00
0,1,37,-6.41818473e+00
0,1,38,-6.43698096e+00
0,1,39,-6.45997012e+00
0,1,40,-6.47439144e+00
0,1,41,-6.48146110e+00
0,1,42,-6.51070297e+00
0,1,43,-6.53648721e+00
0,1,44,-6.56201279e+00
0,1,45,-6.59066510e+00
0,1,46,-6.63831608e+00
0,1,47,-6.72650815e+00
0,1,48,-6.79082019e+00
0,1,49,-6.86122942e+00
0,1,50,-6.88488649e+00
0,1,51,-6.85794135e+00
0,1,52,-6.81826472e+00
0,1,53,-6.73314302e+00
0,1,54,-6.72224739e+00
0,1,55,-6.73282673e+00
0,1,56,-6.75736131e+00
0,1,57,-6.76570577e+00
0,1,58,-6.73315580e+00
0,1,59,-6.70131744e+00
0,1,60,-6.65560634e+00
0,1,61,-6.59196927e+00
0,1,62,-6.57465246e+00
0,1,63,-6.55287032e+00
0,1,64,-6.54458358e+00
0,1,65,-6.53406722e+00
0,1,66,-6.52741251e+00
0,1,67,-6.49080144e+00
0,1,68,-6.44763681e+00
0,1,69,-6.38417605e+00
0,1,70,-6.33511057e+00
0,1,71,-6.29845202e+00
0,1,72,-6.26732049e+00
0,1,73,-6.24030826e+00
0,1,74,-6.20783105e+00
0,1,75,-6.16093260e+00
0,1,76,-6.12857563e+00
0,1,77,-6.09165676e+00
0,1,78,-6.06130716e+00
0,1,79,-6.04051512e+00
0,1,80,-6.02181892e+00
0,1,81,-6.00506678e+00
0,1,82,-5.98722634e+00
0,1,83,-5.96486356e+00
0,1,84,-5.94838259e+00
0,1,85,-5.92952472e+00
0,1,86,-5.91411743e+00
0,1,87,-5.89147792e+00
0,1,88,-5.86928756e+00
0,1,89,-5.84815653e+00
0,1,90,-5.82080837e+00
0,1,91,-5.79727301e+00
0,1,92,-5.78199202e+00
0,1,93,-5.76389653e+00
0,1,94,-5.74661553e+00
0,1,95,-5.72855156e+00
0,1,96,-5.70933831e+00
0,1,97,-5.69093042e+00
0,1,98,-5.67465850e+00
0,1,99,-5.66319916e+00
0,2,0,-5.66689484e+00
0,2,1,-5.67763679e+00
0,2,2,-5.69839624e+00
0,2,3,-5.72536125e+00
0,2,4,-5.74735962e+00
0,2,5,-5.77042051e+00
0,2,6,-5.78754050e+00
0,2,7,-5.79725389e+00
0,2,8,-5.80276833e+00
0,2,9,-5.80790862e+00
0,2,10,-5.82097715e+00
