x,y,z,vx
0,0,0,nan
0,0,1,nan
0,0,2,nan
0,0,3,nan
0,0,4,nan
0,0,5,nan
0,0,6,nan
0,0,7,nan
0,0,8,nan
0,0,9,nan
0,0,10,nan
0,0,11,nan
0,0,12,nan
0,0,13,nan
0,0,14,nan
0,0,15,nan
0,0,16,nan
0,0,17,nan
0,0,18,nan
0,0,19,nan
0,0,20,nan
0,0,21,nan
0,0,22,nan
0,0,23,nan
0,0,24,nan
0,0,25,nan
0,0,26,nan
0,0,27,nan
0,0,28,nan
0,0,29,nan
0,0,30,nan
0,0,31,nan
0,0,32,nan
0,0,33,nan
0,0,34,nan
0,0,35,nan
0,0,36,nan
0,0,37,nan
0,0,38,nan
0,0,39,nan
0,0,40,nan
0,0,41,nan
0,0,42,nan
0,0,43,nan
0,0,44,nan
0,0,45,nan
0,0,46,nan
0,0,47,nan
0,0,48,nan
0,0,49,nan
0,0,50,nan
0,0,51,nan
0,0,52,nan
0,0,53,nan
0,0,54,nan
0,0,55,nan
0,0,56,nan
0,0,57,nan
0,0,58,nan
0,0,59,nan
0,0,60,nan
0,0,61,nan
0,0,62,nan
0,0,63,nan
0,0,64,nan
0,0,65,nan
0,0,66,nan
0,0,67,nan
0,0,68,nan
0,0,69,nan
0,0,70,nan
0,0,71,nan
0,0,72,nan
0,0,73,nan
0,0,74,nan
0,0,75,nan
0,0,76,nan
0,0,77,nan
0,0,78,nan
0,0,79,nan
0,0,80,nan
0,0,81,nan
0,0,82,nan
0,0,83,nan
0,0,84,nan
0,0,85,nan
0,0,86,nan
0,0,87,nan
0,0,88,nan
0,0,89,nan
0,0,90,nan
0,0,91,nan
0,0,92,nan
0,0,93,nan
0,0,94,nan
0,0,95,nan
0,0,96,nan
0,0,97,nan
0,0,98,nan
0,0,99,nan
0,1,0,nan
0,1,1,nan
0,1,2,nan
0,1,3,nan
0,1,4,nan
0,1,5,nan
0,1,6,nan
0,1,7,nan
0,1,8,nan
0,1,9,nan
0,1,10,nan
0,1,11,nan
0,1,12,nan
0,1,13,nan
0,1,14,nan
0,1,15,nan
0,1,16,nan
0,1,17,nan
0,1,18,nan
0,1,19,nan
0,1,20,nan
0,1,21,nan
0,1,22,nan
0,1,23,nan
0,1,24,nan
0,1,25,nan
0,1,26,nan
0,1,27,nan
0,1,28,nan
0,1,29,nan
0,1,30,nan
0,1,31,nan
0,1,32,nan
0,1,33,nan
0,1,34,nan
0,1,35,nan
0,1,36,nan
0,1,37,nan
0,1,38,nan
0,1,39,nan
0,1,40,nan
0,1,41,nan
0,1,42,nan
0,1,43,nan
0,1,44,nan
0,1,45,nan
0,1,46,nan
0,1,47,nan
0,1,48,nan
0,1,49,nan
0,1,50,nan
0,1,51,nan
0,1,52,nan
0,1,53,nan
0,1,54,nan
0,1,55,nan
0,1,56,nan
0,1,57,nan
0,1,58,nan
0,1,59,nan
0,1,60,nan
0,1,61,nan
0,1,62,nan
0,1,63,nan
0,1,64,nan
0,1,65,nan
0,1,66,nan
0,1,67,nan
0,1,68,nan
0,1,69,nan
0,1,70,nan
0,1,71,nan
0,1,72,nan
0,1,73,nan
0,1,74,nan
0,1,75,nan
0,1,76,nan
0,1,77,nan
0,1,78,nan
0,1,79,nan
0,1,80,nan
0,1,81,nan
0,1,82,nan
0,1,83,nan
0,1,84,nan
0,1,85,nan
0,1,86,nan
0,1,87,nan
0,1,88,nan
0,1,89,nan
0,1,90,nan
0,1,91,nan
0,1,92,nan
0,1,93,nan
0,1,94,nan
0,1,95,nan
0,1,96,nan
0,1,97,nan
0,1,98,nan
0,1,99,nan
0,2,0,nan
0,2,1,nan
0,2,2,nan
0,2,3,nan
0,2,4,nan
0,2,5,nan
0,2,6,nan
0,2,7,nan
0,2,8,nan
0,2,9,nan
0,2,10,nan
0,2,11,nan
0,2,12,nan
0,2,13,nan
0,2,14,nan
0,2,15,-6.06004907e+00
0,2,16,-6.35800984e+00
0,2,17,nan
0,2,18,nan
0,2,19,nan
0,2,20,nan
0,2,21,nan
0,2,22,nan
0,2,23,nan
0,2,24,nan
0,2,25,nan
0,2,26,nan
0,2,27,nan
0,2,28,nan
0,2,29,nan
0,2,30,nan
0,2,31,nan
0,2,32,nan
0,2,33,nan
0,2,34,nan
0,2,35,nan
0,2,36,nan
0,2,37,nan
0,2,38,nan
0,2,39,nan
0,2,40,nan
0,2,41,nan
0,2,42,nan
0,2,43,nan
0,2,44,nan
0,2,45,nan
0,2,46,nan
0,2,47,nan
0,2,48,nan
0,2,49,nan
0,2,50,nan
0,2,51,nan
0,2,52,nan
0,2,53,nan
0,2,54,nan
0,2,55,nan
0,2,56,nan
0,2,57,nan
0,2,58,nan
0,2,59,nan
0,2,60,nan
0,2,61,nan
0,2,62,nan
0,2,63,nan
0,2,64,nan
0,2,65,nan
0,2,66,nan
0,2,67,nan
0,2,68,nan
0,2,69,nan
0,2,70,nan
0,2,71,nan
0,2,72,nan
0,2,73,nan
0,2,74,nan
0,2,75,nan
0,2,76,nan
0,2,77,nan
0,2,78,nan
0,2,79,nan
0,2,80,nan
0,2,81,nan
0,2,82,nan
0,2,83,nan
0,2,84,nan
0,2,85,nan
0,2,86,nan
0,2,87,nan
0,2,88,nan
0,2,89,nan
0,2,90,nan
0,2,91,nan
0,2,92,nan
0,2,93,nan
0,2,94,nan
0,2,95,nan
0,2,96,nan
0,2,97,nan
0,2,98,nan
0,2,99,nan
0,3,0,nan
0,3,1,nan
0,3,2,nan
0,3,3,nan
0,3,4,nan
0,3,5,nan
0,3,6,nan
0,3,7,nan
0,3,8,nan
0,3,9,nan
0,3,10,nan
