x,y,z,vz
0,0,0,nan
0,0,1,-4.65282851e+00
0,0,2,-4.33746211e+00
0,0,3,-4.17650561e+00
0,0,4,-4.09092804e+00
0,0,5,-4.05287992e+00
0,0,6,-4.04206447e+00
0,0,7,-4.04005198e+00
0,0,8,-4.03623001e+00
0,0,9,-4.02409234e+00
0,0,10,-4.00497421e+00
0,0,11,-3.98632153e+00
0,0,12,-3.97404264e+00
0,0,13,-3.96995555e+00
0,0,14,-3.97071397e+00
0,0,15,-3.97299136e+00
0,0,16,-3.97324899e+00
0,0,17,-3.97045515e+00
0,0,18,-3.96879627e+00
0,0,19,-3.97029555e+00
0,0,20,-3.98014168e+00
0,0,21,-3.99980024e+00
0,0,22,-4.02153239e+00
0,0,23,-4.03817032e+00
0,0,24,-4.04824408e+00
0,0,25,-4.05524796e+00
0,0,26,-4.06525491e+00
0,0,27,-4.08245612e+00
0,0,28,-4.10582037e+00
0,0,29,-4.12952360e+00
0,0,30,-4.14833839e+00
0,0,31,-4.15877678e+00
0,0,32,-4.16619811e+00
0,0,33,-4.17564138e+00
0,0,34,-4.19306684e+00
0,0,35,-4.21434956e+00
0,0,36,-4.23032816e+00
0,0,37,-4.23732590e+00
0,0,38,-4.24248878e+00
0,0,39,-4.25950963e+00
0,0,40,-4.28902737e+00
0,0,41,-4.31859334e+00
0,0,42,-4.33325229e+00
0,0,43,-4.33532518e+00
0,0,44,-4.33564428e+00
0,0,45,-4.34502433e+00
0,0,46,-4.37418438e+00
0,0,47,-4.43770402e+00
0,0,48,-4.56689902e+00
0,0,49,-4.82011686e+00
0,0,50,-5.49181438e+00
0,0,51,nan
0,0,52,nan
0,0,53,nan
0,0,54,nan
0,0,55,nan
0,0,56,nan
0,0,57,nan
0,0,58,nan
0,0,59,nan
0,0,60,nan
0,0,61,nan
0,0,62,nan
0,0,63,nan
0,0,64,nan
0,0,65,nan
0,0,66,nan
0,0,67,nan
0,0,68,nan
0,0,69,nan
0,0,70,nan
0,0,71,nan
0,0,72,nan
0,0,73,nan
0,0,74,nan
0,0,75,nan
0,0,76,nan
0,0,77,nan
0,0,78,nan
0,0,79,nan
0,0,80,nan
0,0,81,nan
0,0,82,nan
0,0,83,nan
0,0,84,nan
0,0,85,nan
0,0,86,nan
0,0,87,nan
0,0,88,nan
0,0,89,nan
0,0,90,nan
0,0,91,nan
0,0,92,nan
0,0,93,nan
0,0,94,nan
0,0,95,nan
0,0,96,nan
0,0,97,nan
0,0,98,nan
0,0,99,nan
0,1,0,-5.20468834e+00
0,1,1,-4.49028072e+00
0,1,2,-4.25903421e+00
0,1,3,-4.14082049e+00
0,1,4,-4.08315297e+00
0,1,5,-4.06005238e+00
0,1,6,-4.05788161e+00
0,1,7,-4.06048365e+00
0,1,8,-4.05780291e+00
